date,total_stock_value,cash_balance,total_portfolio_value,cash_inflow,notes
2026-02-24,2762757,222498,2985255,2985255,系統建立基準日（含現金）
2026-03-01,2762757,234498,2997255,12000,3月現金存入
2026-03-02,2855088,,,0.0,
2026-03-03,2801351,216970.0,3018320.62125206,0.0,
2026-03-04,2714821,216970.0,2931790.8577899933,0.0,
2026-03-05,2742298,240495.0,2982793.2259311676,0.0,
2026-03-06,2777215,232732.0,3009947.1166915894,0.0,
2026-03-09,2688810,225902.0,2914711.574558258,0.0,
2026-03-10,2664083,257980.0,2922063.0,50000.0,現金存入 50000 元（含交易後結算）
2026-03-11,2717458,257980.0,2975438.020412445,0.0,
2026-03-12,2486751,432543,2919294,0,出售4938全/3034全/2377部分，現金+174563（257980+174563=432543）
2026-03-13,2473906,390939.0,2864845.0,0.0,修正：432543-41604=390939（買2330@1875+3455@39728）
2026-03-16,2535876,390939.0,2926815.0,0.0,修正：沿用3/13現金（無現金異動）
2026-03-17,2610943,294543.0,2905485.9777851105,0.0,
2026-03-18,2625405,294543.0,2919948.3376102448,0.0,
2026-03-19,2583713,294543.0,2878256.041780472,0.0,
2026-03-23,2498044,294543.0,2792587.483974457,0.0,
2026-03-24,2578337,294543.0,2872879.7734127045,0.0,
2026-03-25,2593798,294543.0,2888341.126449585,0.0,
2026-03-26,2588454,294543.0,2882996.680912018,0.0,
2026-03-27,2574892,304959,2879851,10416,現金流入
2026-03-30,2529363,304959.0,2834322.359775543,0.0,
2026-03-31,2488706,304959.0,2793664.5882282257,0.0,
2026-04-01,2494913,316959.0,2811871.5436820984,12000.0,4月現金存入
2026-04-04,2559512,316959.0,2876470.834466934,0.0,
2026-04-07,2625342,316959.0,2942301.199947357,0.0,
2026-04-08,2680515,331380.0,3011895.0,0.0,"04-08 回溯補正：含當日 4 筆交易（由田-150 廣達-15 聯發科+10）; trade_routing: 由田-19152→tac|由田+5889→cash|廣達-4236→tac|廣達+250→cash|聯發科-15106←tac; Δcash=+14421; sub_bucket Δ: 主Cash+6139 Tac待命+8282; 原值 stock=2694453 cash=304959 未含交易"
2026-04-09,2532163,513261.0,3045423.98131752,0.0,trade_routing: 由田-146832→tac|由田+60090→cash|廣達-4236→tac|廣達+250→cash|聯發科-15106←tac; Δcash=+196302; Layer3a: Tac待命135962→主Cash; 終局 主Cash=501261 Tac待命=0; 見 capital/cash_ledger.md
2026-04-10,2486477,598208.0,3084685.0031471252,0.0,04-10 十筆交易對帳單入帳; trade_routing: 技嘉30@260→tac-9961/cash-2161|瑞昱10@507.5全清→tac-4760/cash+299|廣達10@325→tac-2824/cash+416|中美晶60@120.5→tac-6408/cash+799|力成5@217→core-810/cash+275|環球晶138@491→tac-57029/cash+10573|台積電+1@1980←core-1974(違規加碼)|元太+35@144←core-5042(違規DCA); Δcash=+84947; 實現損益+10201; Tac成本35.1%→32.8%✅解除預算越權; 原值 stock=2571574 cash=501261 為盤前未含交易
2026-04-13,2465130,598208.0,3063337.6335086823,0.0,
2026-04-14,2556535,534213.0,3090747.5645828247,0.0,04-14 十三筆交易對帳單入帳; trade_routing: 1503-15@194 Exit清-1575|2002-1000@20.5 中鋼減持-5650 Tier B超支降至142565|2376-40@272 Exit清-2401|2408+30@229.5 加碼至40股(原10)|2449+20@298.5 新建倉(Cash Override 比照由田2.3x事件)|5483-30@122 操作倉再減-1276|6115-70@47.55 -+16|6488-40@508.5 零股滾動執行-1832|8069+750淨@150 大筆加碼至1001股(誤買850賣100修正)DCA違規; Δcash=-63995; 實現損益=-12718; 大規模認輸清理日
2026-04-15,2468535,534213.0,3002747.881980896,0.0,
2026-04-16,2606317,534213.0,3140530.4309310913,0.0,
2026-04-17,2597993,534213.0,3132206.069234848,0.0,
2026-04-20,2537393,534213.0,3071606.069234848,0.0,
2026-04-21,2540141,534213.0,3074353.6682720184,0.0,
