code,exchange,ticker,name,type
0050,TW,0050.TW,元大台灣50,ETF
0056,TW,0056.TW,元大高股息,ETF
00878,TW,00878.TW,國泰永續高股息,ETF
00919,TW,00919.TW,群益台灣精選高息,ETF
00921,TW,00921.TW,兆豐龍頭等權重,ETF
00929,TW,00929.TW,復華台灣科技優息,ETF
00940,TW,00940.TW,元大台灣價值高息,ETF
00946,TW,00946.TW,元大台灣ESG永續,ETF
1210,TW,1210.TW,大成,股票
1215,TW,1215.TW,卜蜂,股票
1503,TW,1503.TW,士電,股票
2002,TW,2002.TW,中鋼,股票
2006,TW,2006.TW,東和鋼鐵,股票
2317,TW,2317.TW,鴻海,股票
2330,TW,2330.TW,台積電,股票
2338,TW,2338.TW,光罩,股票
2376,TW,2376.TW,技嘉,股票
2377,TW,2377.TW,微星,股票
2379,TW,2379.TW,瑞昱,股票
2493,TW,2493.TW,揚信科,股票
2546,TW,2546.TW,根基,股票
2886,TW,2886.TW,兆豐金,股票
3034,TW,3034.TW,聯詠,股票
3455,TWO,3455.TWO,由田,股票
3481,TW,3481.TW,群創,股票
4991,TWO,4991.TWO,環宇-KY,股票
5483,TWO,5483.TWO,中美晶,股票
6115,TW,6115.TW,鎰勝,股票
6239,TW,6239.TW,力成,股票
6488,TWO,6488.TWO,環球晶,股票
8069,TWO,8069.TWO,元太,股票
DTIL,US,DTIL,Precision BioSciences,股票
3081,TWO,3081.TWO,聯亞,股票
6223,TW,6223.TW,旺矽,股票
